,AS,AP,BS,BP
0,10.0,2.5,0.0,0.5
1,8.5,3.5,8.0,2.25
2,9.5,2.5,1.75,4.5
3,10.0,7.0,0.5,1.25
4,9.0,2.25,2.0,0.5
5,10.0,7.5,8.5,1.0
6,4.5,6.25,8.5,7.25
7,3.5,2.5,10.0,8.75
8,3.5,1.0,1.25,1.25
9,9.0,3.5,7.5,2.25
10,7.5,6.25,4.75,0.0
11,9.0,1.0,8.5,0.75
12,3.0,0.0,6.0,2.25
13,10.0,7.5,7.5,1.25
14,10.0,0.0,7.0,2.5
15,5.0,2.75,8.5,6.75
16,9.0,6.75,7.5,1.25
17,7.0,6.5,8.5,2.0
18,0.5,0.0,8.5,7.5
19,7.75,2.5,7.5,1.5
20,2.5,2.0,7.5,1.75
21,8.0,2.5,5.0,2.5
22,10.0,2.5,10.0,3.0
23,9.0,5.0,8.5,7.5
24,2.5,2.0,8.0,1.0
25,6.0,4.0,7.5,3.5
